filename,source_dir,label,label_index,split,md5,dhash
0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,Potato___Early_blight,Early Blight,0,train,67d1edca8c5ddb1362fe436d4c0ff120,9b3974ecc9733e8d
0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,Potato___Early_blight,Early Blight,0,train,b1964496ae56fdcc7b79aab41f57d16d,2643dc4400140401
0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,Potato___Early_blight,Early Blight,0,train,103d70cd08976edc220061ef1182b29d,376fdfad6b23339b
0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,Potato___Early_blight,Early Blight,0,train,3500894ac8e5461e1e1d1f21e1349da0,df7f7fe5775b199d
0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,Potato___Early_blight,Early Blight,0,train,9f129066ddee9befedcf1238f3c36132,7f5ff7b3792d85e7
0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,Potato___Early_blight,Early Blight,0,train,bea45baabfa263fbbfadac7af85ff211,8d79cdd999d35e79
0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,Potato___Early_blight,Early Blight,0,test,7d054c7c2f3cd1e545832744f9b58839,1ef3c834252eb2de
0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,Potato___Early_blight,Early Blight,0,train,5f16cf550c8152f88aebfb79a960e9d9,38ce634b6d398de1
0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,Potato___Early_blight,Early Blight,0,test,3342d6a9c7d8e679bd8ebd82ff7bcca6,0e19d0d6da083116
0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,Potato___Early_blight,Early Blight,0,train,05afb389c508ad091e629078e1ae1fe6,8b1b656c99712796
0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,Potato___Early_blight,Early Blight,0,val,9105cc0cdcb93131d21dc01d8fc02bef,cb992c4dcd9f5b77
0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,Potato___Early_blight,Early Blight,0,train,b01e26e6b0dc19314e9a1deb54498662,9f3765cb93879fbb
0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,Potato___Early_blight,Early Blight,0,train,486db781e026b4052872ededb69c1fec,3548b6aaa93126cc
0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,Potato___Early_blight,Early Blight,0,train,1c593aa3e0b14f09518159cc7b9f1841,c71d396d4c4913de
0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,Potato___Early_blight,Early Blight,0,train,2e60f216c20fe88b33ba94117d38d47f,02112852524645a3
0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,Potato___Early_blight,Early Blight,0,train,4567dcd6aae511e0c3f1f29d9c36668d,3b6775c98b8fbfbf
0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,Potato___Early_blight,Early Blight,0,train,a47f4cbcf5d8b686ba745b5b861e8923,7f9e9bdb9bd971a7
0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,Potato___Early_blight,Early Blight,0,train,4360bb96a48e0695087d7389eda269da,1e3363cddaa68c38
0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,Potato___Early_blight,Early Blight,0,train,3178440d2387d66a012c293fe9dbf137,5ee36565291dcda3
0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,Potato___Early_blight,Early Blight,0,test,afb75149099e96f5a3e530fe3935e183,cf3c7c4dcdef6c7b
0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early.B 7929.JPG,Potato___Early_blight,Early Blight,0,train,29bc72eefbea93e9468691f7590c7b2a,833624704ec56f38
0fd22207-cb37-42a1-965f-7dfe43f9d579___RS_Early.B 6876.JPG,Potato___Early_blight,Early Blight,0,val,f1b973ab198e9b7db09bef907607e87c,9c064ba1c0701ec7
107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,Potato___Early_blight,Early Blight,0,val,370fb7f72cc1c40bf0a612f90af6a51e,1c43d13535348461
1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,Potato___Early_blight,Early Blight,0,train,6fdcb1b9177bdd80cb5c572371e47f53,190b193041430b0c
109730cd-03f3-4139-a464-5f9151483e8c___RS_Early.B 6738.JPG,Potato___Early_blight,Early Blight,0,train,f60b01c1c3b119d8c733b496652a1a45,1dd6a3b55c26b647
10a3920b-dd04-406d-8bbd-f92f221e4dee___RS_Early.B 7035.JPG,Potato___Early_blight,Early Blight,0,train,5b444394cd5265c4676adc1977cb3bd4,8fa3271527370e48
10c438df-8ed7-4de7-94df-83298ebcf373___RS_Early.B 7001.JPG,Potato___Early_blight,Early Blight,0,train,51c8a02f2902071ce482b73a870cacff,1e33584e46338dc4
1131b92e-ef46-441e-ac5f-c18ac09bf69a___RS_Early.B 8064.JPG,Potato___Early_blight,Early Blight,0,val,fc83abe38288246d577822d99c65a193,0c477184446415c3
1132bee0-fe6b-41a9-9583-7b959c2ca25f___RS_Early.B 7482.JPG,Potato___Early_blight,Early Blight,0,train,631c1ed65427f1de61c708fff61d061f,932d4593868e3962
11e974fa-928f-45f6-b983-e74c74c7d163___RS_Early.B 7992.JPG,Potato___Early_blight,Early Blight,0,test,a240fb67a76bf8c0dc4f1673fdf9895a,2b69cdcc85e7961f
12429fa8-02ea-4017-88ef-b2d219b892f7___RS_Early.B 6916.JPG,Potato___Early_blight,Early Blight,0,train,0c7d46c5464b542eaf2e9794ed0b143a,193c666850213386
12826416-efc5-49d3-b615-731629c95435___RS_Early.B 7215.JPG,Potato___Early_blight,Early Blight,0,val,b5aaf4d7c5b1cd19d9e3b65ebe51f212,862b413771759bc6
129b1c3a-4f7d-4c45-ae03-2a4c3eb17dd4___RS_Early.B 7413.JPG,Potato___Early_blight,Early Blight,0,val,5d337856d64a343b3a48e135e9cd19ad,c38f656353d3f6fd
12a7bc09-8d7f-4790-8046-6e3f12f71399___RS_Early.B 7973.JPG,Potato___Early_blight,Early Blight,0,test,4363cd22f20ed1514f20e39b8cd2905e,7bede793d97139cd
12ebe6fe-c8ce-4a00-866f-8776aca75159___RS_Early.B 6873.JPG,Potato___Early_blight,Early Blight,0,val,e08607389b5a80433adbf2e4536591aa,0341e170593d0fc6
12f7b8bd-7aab-48de-ba2e-d2562408542f___RS_Early.B 7386.JPG,Potato___Early_blight,Early Blight,0,test,1d87d078e8b39f6e39494e562c4ae8ca,4e993264b973436c
1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B 8303.JPG,Potato___Early_blight,Early Blight,0,train,f70ef34e99606ae8c6f732409fb9970d,411021591b120c50
1367d3e9-74fe-4d61-ab24-dd389dcb5d54___RS_Early.B 8011.JPG,Potato___Early_blight,Early Blight,0,train,4bd4097c6fc048a75c382f82e056f743,9e337979654913c6
13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,Potato___Early_blight,Early Blight,0,train,3670c5db648ca9962b648eac49bf01a4,9d3062d8d4170e3c
13ddd965-db42-4392-9798-fe0ba5ad7928___RS_Early.B 7631.JPG,Potato___Early_blight,Early Blight,0,train,4cd2a11d8fd5aa291c82d9d33c4ba8b2,8617616575210e9c
13e2be1d-56bc-40c6-b5d1-e3bafc1b111e___RS_Early.B 8830.JPG,Potato___Early_blight,Early Blight,0,train,f8c71329612284f31fd6730eb8891c22,8f3169407471378e
14efc692-8ac6-4bd8-a71a-943192d6831a___RS_Early.B 6841.JPG,Potato___Early_blight,Early Blight,0,train,7c8e84bdad1cbf3a0fb3d21e03a860c3,2663d4181a1c0600
159f49c5-8d80-41cb-b730-333fdefdff62___RS_Early.B 7301.JPG,Potato___Early_blight,Early Blight,0,test,67f24e920cb9281deea68e0b7f0d1285,923174c444c90b5c
15ab8118-01fb-4e9c-83a9-94ab224d6854___RS_Early.B 7962.JPG,Potato___Early_blight,Early Blight,0,test,465a6fb842a89b54feb3f575783545c2,9b3565d8b38beefb
16133ed7-f960-44a5-bd03-8e665e777363___RS_Early.B 7504.JPG,Potato___Early_blight,Early Blight,0,train,e64f13a7b1ad3c524154abee08133156,c93c363638616638
16a6f216-6d2a-48fe-b8bc-ff385c96d0d3___RS_Early.B 7220.JPG,Potato___Early_blight,Early Blight,0,train,241e59ca83e99b2aa330e1b60c1a6d07,1846c3cc70398dc1
17520079-9d7b-481a-bc9e-676c5404d160___RS_Early.B 6774.JPG,Potato___Early_blight,Early Blight,0,train,6d07c8dda200bac5f5521e4a2834446a,1b787455554f3691
17667077-cf29-4976-9282-359c6da25cf6___RS_Early.B 6971.JPG,Potato___Early_blight,Early Blight,0,train,ef423f02045f796d61b7ed9a2ad5f3a1,193a6491876e329c
1767fee7-18fd-4597-8c77-d41ec2d62f4e___RS_Early.B 6932.JPG,Potato___Early_blight,Early Blight,0,train,cfe2fc263b193b06bac5ab6269d74596,0211602266193304
1769d41b-fd4c-49b1-adce-e89fee6a352e___RS_Early.B 6741.JPG,Potato___Early_blight,Early Blight,0,val,79e9464f4d5a064e1c031f313fedcf12,963369ecee6c3889
17756ec1-9c95-43b3-bedc-933b6e0887f3___RS_Early.B 8251.JPG,Potato___Early_blight,Early Blight,0,train,d1492d57f45eeac275fa909125671e01,cb0d5d5d979396dd
17848019-6609-4cc9-b27b-c70b296ceb09___RS_Early.B 7049.JPG,Potato___Early_blight,Early Blight,0,test,5b6fe331a206f556bb4f35fe14e7258b,963261b0e0602c10
1797b5ac-ed8b-4b35-bd01-f8a14d34d6e1___RS_Early.B 8812.JPG,Potato___Early_blight,Early Blight,0,train,b6e19b0d8c03102509b7b0a4ffbd97e3,03992444454b461c
17a06d03-8a7b-48a8-aaf9-3300741c65de___RS_Early.B 7625.JPG,Potato___Early_blight,Early Blight,0,train,f5b2a11d6bb1024c9a328cd1f1f06dad,678c392b5b727c78
1896de06-b6eb-4c01-a6c6-3247405765b8___RS_Early.B 8335.JPG,Potato___Early_blight,Early Blight,0,train,1bab2a8134726c3ac208ec29e7ae17ed,3c47416435996179
192c9d29-4a86-457b-a779-1dd36f225a5b___RS_Early.B 8012.JPG,Potato___Early_blight,Early Blight,0,val,e52c2abf0d97d57c78c38444766a0a29,1c07e3fb75359cc9
1994cd3e-4000-4c56-bede-d35a1eecc287___RS_Early.B 6867.JPG,Potato___Early_blight,Early Blight,0,test,9351b225b74c216a04b2e3ab10223333,090c22025179064c
1a2970b6-bafd-4812-93bc-57ff969e1045___RS_Early.B 7330.JPG,Potato___Early_blight,Early Blight,0,test,62e45123a762c480dae75e4db62094cc,0c226124664c2306
1a38f06b-da2a-4c57-bef1-a73254896403___RS_Early.B 9178.JPG,Potato___Early_blight,Early Blight,0,val,e365d34f18367bb744516f8146720cd8,cd992d462619a30c
1a77c047-7ed8-4f02-bfaf-a19e7a67c3dd___RS_Early.B 7076.JPG,Potato___Early_blight,Early Blight,0,train,c02bc65d3b71279907a2600f1b0a034d,ede7b3a5c5c93bb3
1af20ff8-980d-4912-b337-804b09667de3___RS_Early.B 7392.JPG,Potato___Early_blight,Early Blight,0,train,d956475a78387bd7422107bdfb8f1d14,d8d6c3696cae97c5
1b0a2898-00b9-4a12-b4dc-a89b77b9e8b7___RS_Early.B 6928.JPG,Potato___Early_blight,Early Blight,0,test,e57e33ec9a55da9298b88caeec7a1b09,4acbc989a9c3c62d
1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,Potato___Early_blight,Early Blight,0,train,8d99db411b2330178105535fc5e06b73,cbb56c59e963cec8
1c42eae7-29c8-42fd-b05a-9b8255790f6f___RS_Early.B 7719.JPG,Potato___Early_blight,Early Blight,0,train,be9d2344f75f956c8826bf06f357a777,8e77f9edcdcdce7d
1c4e0445-375a-4c5d-b6fd-6123d22f009f___RS_Early.B 7972.JPG,Potato___Early_blight,Early Blight,0,train,c6d04c63815a64072d67829d69ab178a,1677f99d99c3663d
1ca9e3ba-e029-48bf-b207-e8cb3546f953___RS_Early.B 7978.JPG,Potato___Early_blight,Early Blight,0,test,38869b64d3c5b04bd82955b733724116,276144e267359143
1cb05d87-027d-4bf0-b5c4-4c1a57896ac6___RS_Early.B 7936.JPG,Potato___Early_blight,Early Blight,0,test,8f526d9699294bd98f6bd18985c98db5,9e3b796d75398706
1d038d64-7f3c-4b4d-9b3d-7736f97b59a0___RS_Early.B 7994.JPG,Potato___Early_blight,Early Blight,0,train,1aabdd75397455032808ffe1f3c65be7,870f531a3933371c
1d18a770-8a16-4765-bae9-5d96f781db89___RS_Early.B 7803.JPG,Potato___Early_blight,Early Blight,0,train,ca3eab4108dcf6f2671593c922747c07,2e6f5dbc99cb6f2c
1d2ec63e-acfb-4a80-ba21-853a724fff4a___RS_Early.B 8083.JPG,Potato___Early_blight,Early Blight,0,train,c7d724dc924a451b4e17b08839eeb6e1,13393c32786d230e
1d301622-e359-49d5-b4ca-6837f254fd1b___RS_Early.B 6719.JPG,Potato___Early_blight,Early Blight,0,val,ebe956a7d131f33f658544898ca85864,ffa693a9cc603cc2
1d466431-007d-4b3b-bd45-b09f1a6f7bad___RS_Early.B 8932.JPG,Potato___Early_blight,Early Blight,0,train,d52ed6617758f062804b491feeaf0522,1fdeb56367a61559
1d4fc5d0-fee6-40bf-8e7b-e1598ea64161___RS_Early.B 8912.JPG,Potato___Early_blight,Early Blight,0,train,20308b42b6bdf083c0be4e287293a883,4ecbc98c94d85ddb
1daae61a-7014-4efe-b855-018999a5be9b___RS_Early.B 6852.JPG,Potato___Early_blight,Early Blight,0,train,61bfeda2d9240f263d759420f37fd4a6,63c9a061593b1fcc
1de8ed75-0778-4364-9178-52c1bd0dffb4___RS_Early.B 6729.JPG,Potato___Early_blight,Early Blight,0,val,a88e8f526b190bac36faae40a9bb35f8,36725565cd993ad6
1defd277-6394-4049-895d-470f1e27e189___RS_Early.B 8931.JPG,Potato___Early_blight,Early Blight,0,train,003699660ad959cc7634ca4a1090631e,531b3b69dd4f6b9f
1e671694-5713-4568-b8ad-06f15688d25e___RS_Early.B 7659.JPG,Potato___Early_blight,Early Blight,0,test,e9eb64b075c1e7f3dbacf6ae1f912801,bf5f6fafdf5b8bc6
1e99ce6b-b7fa-4ae1-9076-279f430b8c5f___RS_Early.B 7092.JPG,Potato___Early_blight,Early Blight,0,train,1546fc507b15a993d20b2490e6fb7d0e,c59c347943467870
1ee04a42-fa1c-4f6b-a88b-4cf583b188ea___RS_Early.B 8494.JPG,Potato___Early_blight,Early Blight,0,train,615766182bfd6875a8104e895da9500f,8e3b75fdbfabe66d
1f56ef5b-9a3b-4731-bf82-b08aeb84fcb5___RS_Early.B 9032.JPG,Potato___Early_blight,Early Blight,0,val,c2a0f76af0bc988d0a6c758daa08beb5,9b3c6cf0b16b4438
1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,Potato___Early_blight,Early Blight,0,train,6e63811f2c9da9e6e27f6a3794106e30,4f11353d7b1b3699
1f830d02-1fc6-41d6-99c6-851e0d2af4ad___RS_Early.B 9182.JPG,Potato___Early_blight,Early Blight,0,train,af3fc3dadfc5812330e4636bff7c5647,2da7a78f9b4d3b9b
1ff86a73-9f36-45c5-8012-c5d90445b7ac___RS_Early.B 8563.JPG,Potato___Early_blight,Early Blight,0,train,1dd4528951a3f05e9f41e2029f7d1800,0f65426262050386
201fed44-8dde-4ece-9e76-3706b8afdf46___RS_Early.B 8259.JPG,Potato___Early_blight,Early Blight,0,train,45562e610518dfe0f8713f8efc3fa3c7,1c67e57612880523
203357f4-1deb-42b2-99ed-32df34aa166c___RS_Early.B 6780.JPG,Potato___Early_blight,Early Blight,0,train,a5affee4eb2dfb1faf2437d504d307b5,c7c3ebcde4361bcb
20421747-c083-48a1-aed5-b1097ae50491___RS_Early.B 8203.JPG,Potato___Early_blight,Early Blight,0,val,044c4ac4bbf6e69a6f0f47df08aecdfd,2671584264763d9f
20978e65-f4d0-419a-bab9-f6042ab2d318___RS_Early.B 6868.JPG,Potato___Early_blight,Early Blight,0,train,2842e53b40000eaf6a8ffcf107304e9b,062f54581a9a4101
20e451e3-74a4-4a5b-b11c-257506f13a8f___RS_Early.B 6984.JPG,Potato___Early_blight,Early Blight,0,train,1271dcf2b906423c00043d8250217ff7,377191b3e1711bcf
211094c5-4983-49ff-a92e-b992039bd048___RS_Early.B 6927.JPG,Potato___Early_blight,Early Blight,0,train,456fd62d42f52ef406ce33e9fb4a7749,cd4653cb4d6139cb
212c3c65-e30e-496f-ab5e-c2f4b0446d8f___RS_Early.B 8195.JPG,Potato___Early_blight,Early Blight,0,test,5f4a3590ce175f8a086988524933767d,17796a6a2e040907
216a1a08-c4be-4fa9-b880-c260909e1dbc___RS_Early.B 6881.JPG,Potato___Early_blight,Early Blight,0,val,c95c4147d0dcd275a42bf67deae22e39,1b61645a0f0e0e02
21ca5caf-147b-4a1a-a2da-edfc1c81b62e___RS_Early.B 8926.JPG,Potato___Early_blight,Early Blight,0,train,61e5d56a4114f9d55c56cd1f90947b7c,136263a470140d04
21d50c27-900e-4644-ab01-0cc96214d2f6___RS_Early.B 7153.JPG,Potato___Early_blight,Early Blight,0,train,eadb43f3deb144afaad6ae8aa5d03500,5b9b3133666c3020
221c911f-e483-407c-b672-21150d09d57e___RS_Early.B 7678.JPG,Potato___Early_blight,Early Blight,0,val,178d131dd64b866a2b6a3e82c339afba,29091c2075677e70
22b28f50-4141-4ca7-be3f-ccb1c521c2df___RS_Early.B 8285.JPG,Potato___Early_blight,Early Blight,0,train,c68e2ab5e4b21d9373cfa070f5950d3d,219c186c666e733e
22d1678a-3abd-4fe6-ac13-b654e2589280___RS_Early.B 8523.JPG,Potato___Early_blight,Early Blight,0,train,49ab46378233d1be030af5c6b3ee76c7,1f5f9d99991b1f9d
232c8d25-3bfe-41ea-b24f-2b3629a0253a___RS_Early.B 9200.JPG,Potato___Early_blight,Early Blight,0,train,2945152b23c1ea2f30566e5edd495702,3f7b77f5e5636f6d
23546e04-7151-4dbd-95a1-687d963eb132___RS_Early.B 7402.JPG,Potato___Early_blight,Early Blight,0,val,daab02f61158bfe28793777463229f51,c5152c66c221172c
2356a4d6-8015-434e-a5f8-03197fef2c28___RS_Early.B 8139.JPG,Potato___Early_blight,Early Blight,0,train,5a12e7a8bfbd991070f65b24df6cf001,8331724294494e4c
2446ca09-aa29-4ae4-8d34-45115c32cde7___RS_Early.B 8971.JPG,Potato___Early_blight,Early Blight,0,train,5af662814354cf827b5cc0b138694c8c,7dcedb47c767b3c9
24a34259-1c47-4e87-ac83-5decf37b42e4___RS_Early.B 6896.JPG,Potato___Early_blight,Early Blight,0,train,4dc535c1dbf78dde924c818cd94e7046,e7c9be5cc9c39ebf
24ced43c-a862-4e3d-8300-dffd350de2c4___RS_Early.B 6957.JPG,Potato___Early_blight,Early Blight,0,train,d4dee2ffb1d99c1b87be6f07bfb3d0f0,63d9b4fcdc794b3f
24fb74df-0aa9-4e89-9ba4-55a4664438ab___RS_Early.B 8634.JPG,Potato___Early_blight,Early Blight,0,train,bff7335a3133072b4245190de050adfd,1d37eca9b3875d7b
25642761-2905-48af-b8da-1064a0f6b876___RS_Early.B 6831.JPG,Potato___Early_blight,Early Blight,0,val,20c5c92a0edc1216d228d9300b933356,49912b6161561c70
25703c4f-ec40-4099-b249-a4fd07b07752___RS_Early.B 7040.JPG,Potato___Early_blight,Early Blight,0,test,a88d513e689941747f2bd2c7f7c5bcc6,fe8f8d9d9d4d2d96
2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,Potato___Early_blight,Early Blight,0,train,ba64048ab55ca1610b6bb40b49a201c3,dbb9296e36b36765
268bb1c3-a714-46af-b6a5-bea66496158c___RS_Early.B 8678.JPG,Potato___Early_blight,Early Blight,0,train,c4f35473380a4084670e7b64b7bd2b59,0f795a587173378c
26d0502d-5fb3-48fa-a86d-d1de92703285___RS_Early.B 6959.JPG,Potato___Early_blight,Early Blight,0,train,8c7217c8f8ba6fff1d3fcc2bedf28502,09397a705571178c
